Phase,Category,Component,Specification,Price Low,Price High,Link,Notes
Phase 1B,NA M52 Build,Camshafts,Schrick 264/248 Camshaft Set (M52/M54),1779.99,1779.99,https://www.bimmerworld.com/Engine/Camshafts/Schrick-264-248-Camshaft-Set-E46-325i-330i-E39-525i-530i-Z3-25-30.html,Verified
Phase 1B,NA M52 Build,Oil Pump,VAC Motorsports M52TU/M54 Oil Pump Upgrade Kit,224.95,224.95,https://store.vacmotorsports.com/vac-motorsports-oil-pump-upgrade-kit-bmw-m52tum54-p1077.aspx,Verified - Mandatory for high-RPM oil pressure stability
Phase 1B,NA M52 Build,Valvetrain,Alien Engineering M50/M52/M54 Solid Lifter Conversion Shims,150,150,https://www.alien-engineering.com/product-page/alien-engineering-bmw-m50-m52-m54-s50-s52-solid-lifter-conversion-shims,Verified - Eliminates hydraulic lifter pump-up above 7000 RPM
Phase 1B,NA M52 Build,Intake Manifold,M50 Intake Manifold Swap (Used),150,250,https://bmwtuning.co/bmw-m52-engine-guide/,Significant torque/VE improvement over M52 unit
Phase 1B,ECU Wiring,M5x Engine Harness,MaxxECU M50 Terminated Harness (M50/M52 + VANOS),978,1240,https://maxxecu.us/product/terminated-engine-harness-bmw-m50/,Pre-terminated OEM BMW connectors. Covers M50/M52 with or without VANOS. VANOS head requires CAM sensor swap to BMW PN 12141726590 or connector adapter. Includes VAG 1.8T COP connectors + wideband LSU 4.2 + MAP hose.
Phase 1B,ECU Wiring,Flex Fuel Sensor,Seems Legit Garage Ethanol Content Sensor,80,80,https://www.seemslegitgarage.com/product-page/ethanol-content-sensor,Install inline on fuel feed line. Single digital input to MaxxECU. Single map auto-blends fueling/timing/boost between pump gas and E85. Also used in 07K phase — same sensor stays.
Phase 1B,Notes,Power Goal,250 - 280 HP at 7800 RPM,,,Primary path - alloy M52 block easiest to source
Phase 1B,NA M52 Build,Harmonic Damper,VAC ATI Super Damper (M50/M52/S50/S52/M52TU/M54),1049.95,1049.95,https://store.vacmotorsports.com/vac-motorsports-harmonic-damper-by-ati-bmw-m50m52s50s52m52tum54-p756.aspx,Verified $1049.95. Highly recommended for any M5x exceeding 7500 RPM — protects crank snout and oil pump from torsional vibration. Same PN as Phase 1A. If pursuing Option B only (no Phase 1A), purchase here. If coming from Phase 1A turbo path, already installed.
Phase 1B,Notes,Bottom End,Stock M52 rotating assembly,0,0,,Generally reliable to 7800 RPM if oiling and harmonics addressed
